com_result_pool_s2,com_condi,com_result_pool,n,com_choice_raw,feedback_raw,key_pressed.keys_raw,key_pressed.rt_mean,key_pressed.rt_raw,key_pressed.rt_std,sub_choice_raw,order
2,38,1,1.0,'Red card','Win','p',0.599665880203,0.5996658802032471,0.0,'Red card',38.0
1,39,2,1.0,'Black card','Loss','p',0.780670881271,0.7806708812713623,0.0,'Red card',39.0
2,40,1,1.0,'Red card','Win','p',0.617014884949,0.6170148849487305,0.0,'Red card',40.0
2,41,1,1.0,'Red card','Loss','p',0.615766048431,0.6157660484313965,0.0,'Black card',41.0
1,42,2,1.0,'Black card','Loss','q',0.931915998459,0.9319159984588623,0.0,'Red card',42.0
1,43,2,1.0,'Black card','Loss','p',0.584399938583,0.584399938583374,0.0,'Red card',43.0
2,44,1,1.0,'Red card','Win','q',0.732506036758,0.7325060367584229,0.0,'Red card',44.0
2,45,1,1.0,'Red card','Loss','p',0.599673986435,0.5996739864349365,0.0,'Black card',45.0
2,46,1,1.0,'Red card','Loss','q',0.738034009933,0.7380340099334717,0.0,'Black card',46.0
1,47,2,1.0,'Black card','Win','p',0.595310926437,0.5953109264373779,0.0,'Black card',47.0
1,48,2,1.0,'Black card','Loss','q',0.581509113312,0.5815091133117676,0.0,'Red card',48.0
1,49,2,1.0,'Black card','Loss','p',0.59901881218,0.5990188121795654,0.0,'Red card',49.0
1,50,2,1.0,'Black card','Loss','q',0.450548171997,0.4505481719970703,0.0,'Red card',50.0
2,51,1,1.0,'Red card','Win','q',0.913150072098,0.9131500720977783,0.0,'Red card',51.0
1,52,2,1.0,'Black card','Loss','q',0.617002010345,0.617002010345459,0.0,'Red card',52.0
2,53,1,1.0,'Red card','Loss','p',0.766742944717,0.7667429447174072,0.0,'Black card',53.0
1,54,2,1.0,'Black card','Loss','p',1.06623697281,1.066236972808838,0.0,'Red card',54.0
1,55,2,1.0,'Black card','Loss','q',0.459928035736,0.459928035736084,0.0,'Red card',55.0
1,56,2,1.0,'Black card','Loss','q',0.453579902649,0.4535799026489258,0.0,'Red card',56.0
2,57,1,1.0,'Red card','Win','q',0.457435131073,0.45743513107299805,0.0,'Red card',57.0
1,58,2,1.0,'Black card','Loss','q',0.925002098083,0.9250020980834961,0.0,'Red card',58.0
1,59,2,1.0,'Black card','Loss','p',0.449540138245,0.4495401382446289,0.0,'Red card',59.0
2,60,1,1.0,'Red card','Loss','p',0.460422992706,0.46042299270629883,0.0,'Black card',60.0
2,61,1,1.0,'Red card','Win','p',0.768553972244,0.7685539722442627,0.0,'Red card',61.0
2,62,1,1.0,'Red card','Win','q',0.450207948685,0.4502079486846924,0.0,'Red card',62.0

extraInfo
date,2014_Feb_05_0212
frameRate,59.7935745812
expName,igt
session,001
participant,
